dz, F
1.68e-07, 0
1.67929e-07, 1.95549e-15
1.67858e-07, 7.56054e-15
1.67787e-07, 1.67516e-14
1.67716e-07, 2.95136e-14
1.67646e-07, 4.57104e-14
1.67575e-07, 6.51719e-14
1.67505e-07, 8.76681e-14
1.67435e-07, 1.13034e-13
1.67366e-07, 1.4119e-13
1.67296e-07, 1.72045e-13
1.67227e-07, 2.05482e-13
1.67158e-07, 2.41392e-13
1.6709e-07, 2.7975e-13
1.67021e-07, 3.20456e-13
1.66953e-07, 3.63445e-13
1.66885e-07, 4.08612e-13
1.66817e-07, 4.55898e-13
1.66749e-07, 5.05199e-13
1.66682e-07, 5.56519e-13
1.66615e-07, 6.09774e-13
1.66548e-07, 6.64895e-13
1.66481e-07, 7.21807e-13
1.66415e-07, 7.80544e-13
1.66349e-07, 8.41027e-13
1.66283e-07, 9.03097e-13
1.66217e-07, 9.66734e-13
1.66152e-07, 1.03189e-12
1.66087e-07, 1.09862e-12
1.66022e-07, 1.16674e-12
1.65957e-07, 1.23624e-12
1.65893e-07, 1.30714e-12
1.65829e-07, 1.37938e-12
1.65765e-07, 1.45292e-12
1.65702e-07, 1.5278e-12
1.65638e-07, 1.604e-12
1.65575e-07, 1.68149e-12
1.65513e-07, 1.76022e-12
1.6545e-07, 1.84017e-12
1.65388e-07, 1.92131e-12
1.65326e-07, 2.00371e-12
1.65265e-07, 2.08738e-12
1.65203e-07, 2.17239e-12
1.65142e-07, 2.25867e-12
1.65082e-07, 2.34611e-12
1.65021e-07, 2.43474e-12
1.64961e-07, 2.52454e-12
1.64901e-07, 2.61557e-12
1.64842e-07, 2.70785e-12
1.64783e-07, 2.8014e-12
1.64724e-07, 2.89626e-12
1.64665e-07, 2.99233e-12
1.64607e-07, 3.08966e-12
1.64549e-07, 3.18831e-12
1.64491e-07, 3.28832e-12
1.64434e-07, 3.38951e-12
1.64377e-07, 3.49196e-12
1.6432e-07, 3.5959e-12
1.64264e-07, 3.70133e-12
1.64208e-07, 3.80832e-12
1.64152e-07, 3.91685e-12
1.64097e-07, 4.02701e-12
1.64042e-07, 4.13881e-12
1.63987e-07, 4.25223e-12
1.63933e-07, 4.36729e-12
1.63879e-07, 4.4842e-12
1.63825e-07, 4.60284e-12
1.63772e-07, 4.72313e-12
1.63719e-07, 4.84524e-12
1.63666e-07, 4.96939e-12
1.63614e-07, 5.09556e-12
1.63562e-07, 5.22386e-12
1.63511e-07, 5.35431e-12
1.6346e-07, 5.48703e-12
1.63409e-07, 5.62197e-12
1.63358e-07, 5.75929e-12
1.63308e-07, 5.89907e-12
1.63259e-07, 6.04128e-12
1.63209e-07, 6.18607e-12
1.63161e-07, 6.33331e-12
1.63112e-07, 6.48312e-12
1.63064e-07, 6.6358e-12
1.63016e-07, 6.7913e-12
1.62969e-07, 6.94956e-12
1.62922e-07, 7.1109e-12
1.62875e-07, 7.27546e-12
1.62829e-07, 7.44324e-12
1.62783e-07, 7.61435e-12
1.62738e-07, 7.78878e-12
1.62693e-07, 7.96672e-12
1.62648e-07, 8.14839e-12
1.62604e-07, 8.3339e-12
1.6256e-07, 8.52346e-12
1.62517e-07, 8.71716e-12
1.62474e-07, 8.91545e-12
1.62432e-07, 9.11811e-12
1.6239e-07, 9.3256e-12
1.62348e-07, 9.53806e-12
1.62307e-07, 9.7558e-12
1.62266e-07, 9.97888e-12
1.62225e-07, 1.02071e-11
1.62185e-07, 1.04407e-11
1.62146e-07, 1.06799e-11
1.62107e-07, 1.09253e-11
1.62068e-07, 1.11766e-11
1.6203e-07, 1.1434e-11
1.61992e-07, 1.16978e-11
1.61955e-07, 1.19683e-11
1.61918e-07, 1.2246e-11
1.61882e-07, 1.25311e-11
1.61846e-07, 1.28239e-11
