dz, F
1.68e-07, 0
1.67911e-07, 4.86793e-16
1.67823e-07, 1.91899e-15
1.67734e-07, 4.20453e-15
1.67646e-07, 7.26861e-15
1.67558e-07, 1.10525e-14
1.67469e-07, 1.55316e-14
1.67381e-07, 2.06837e-14
1.67292e-07, 2.6481e-14
1.67204e-07, 3.28946e-14
1.67116e-07, 3.98921e-14
1.67027e-07, 4.74426e-14
1.66939e-07, 5.5533e-14
1.66851e-07, 6.41472e-14
1.66762e-07, 7.32598e-14
1.66674e-07, 8.28437e-14
1.66586e-07, 9.28832e-14
1.66498e-07, 1.0336e-13
1.66409e-07, 1.14242e-13
1.66321e-07, 1.25506e-13
1.66233e-07, 1.37134e-13
1.66145e-07, 1.49108e-13
1.66057e-07, 1.61425e-13
1.65969e-07, 1.7406e-13
1.65881e-07, 1.86997e-13
1.65793e-07, 2.00223e-13
1.65705e-07, 2.13722e-13
1.65617e-07, 2.2749e-13
1.65529e-07, 2.41519e-13
1.65441e-07, 2.55783e-13
1.65353e-07, 2.70277e-13
1.65265e-07, 2.84989e-13
1.65177e-07, 2.99926e-13
1.65089e-07, 3.1506e-13
1.65002e-07, 3.30373e-13
1.64914e-07, 3.45867e-13
1.64826e-07, 3.61539e-13
1.64738e-07, 3.77383e-13
1.64651e-07, 3.93381e-13
1.64563e-07, 4.09536e-13
1.64475e-07, 4.25849e-13
1.64388e-07, 4.42301e-13
1.643e-07, 4.58889e-13
1.64212e-07, 4.75607e-13
1.64125e-07, 4.9245e-13
1.64037e-07, 5.09423e-13
1.6395e-07, 5.26523e-13
1.63862e-07, 5.43739e-13
1.63775e-07, 5.6106e-13
1.63688e-07, 5.78464e-13
1.636e-07, 5.95959e-13
1.63513e-07, 6.13541e-13
1.63426e-07, 6.31217e-13
1.63338e-07, 6.48987e-13
1.63251e-07, 6.66877e-13
1.63164e-07, 6.84874e-13
1.63077e-07, 7.02968e-13
1.6299e-07, 7.21156e-13
1.62903e-07, 7.39416e-13
1.62816e-07, 7.57736e-13
1.62729e-07, 7.76133e-13
1.62642e-07, 7.94632e-13
1.62555e-07, 8.1323e-13
1.62468e-07, 8.31928e-13
1.62381e-07, 8.50703e-13
1.62294e-07, 8.69562e-13
1.62207e-07, 8.88528e-13
1.6212e-07, 9.07595e-13
1.62034e-07, 9.26759e-13
1.61947e-07, 9.46017e-13
1.6186e-07, 9.65366e-13
1.61774e-07, 9.84802e-13
1.61687e-07, 1.00433e-12
1.61601e-07, 1.02396e-12
1.61514e-07, 1.04371e-12
1.61428e-07, 1.06358e-12
1.61341e-07, 1.08357e-12
1.61255e-07, 1.10366e-12
1.61169e-07, 1.12385e-12
1.61082e-07, 1.14417e-12
1.60996e-07, 1.16461e-12
1.6091e-07, 1.18516e-12
1.60824e-07, 1.20583e-12
1.60738e-07, 1.22659e-12
1.60652e-07, 1.24749e-12
1.60566e-07, 1.26853e-12
1.6048e-07, 1.2897e-12
1.60394e-07, 1.31099e-12
1.60308e-07, 1.33241e-12
1.60222e-07, 1.35398e-12
1.60136e-07, 1.37573e-12
1.60051e-07, 1.39765e-12
1.59965e-07, 1.41972e-12
1.59879e-07, 1.44194e-12
1.59794e-07, 1.46432e-12
1.59708e-07, 1.48686e-12
1.59623e-07, 1.50961e-12
1.59537e-07, 1.53258e-12
1.59452e-07, 1.55576e-12
1.59367e-07, 1.57916e-12
1.59281e-07, 1.60279e-12
1.59196e-07, 1.62663e-12
1.59111e-07, 1.65068e-12
1.59026e-07, 1.67492e-12
1.58941e-07, 1.69936e-12
1.58856e-07, 1.72405e-12
1.58771e-07, 1.74893e-12
1.58686e-07, 1.77405e-12
1.58602e-07, 1.79939e-12
1.58517e-07, 1.82496e-12
1.58432e-07, 1.85076e-12
1.58348e-07, 1.8768e-12
1.58263e-07, 1.90306e-12
1.58179e-07, 1.92956e-12
1.58094e-07, 1.95631e-12
1.5801e-07, 1.98336e-12
1.57926e-07, 2.0107e-12
1.57841e-07, 2.03832e-12
1.57757e-07, 2.06619e-12
1.57673e-07, 2.09434e-12
1.57589e-07, 2.1228e-12
1.57505e-07, 2.15161e-12
1.57421e-07, 2.18081e-12
1.57338e-07, 2.21041e-12
1.57254e-07, 2.2404e-12
1.5717e-07, 2.27076e-12
1.57087e-07, 2.30151e-12
1.57003e-07, 2.33264e-12
1.5692e-07, 2.36416e-12
1.56837e-07, 2.39608e-12
1.56753e-07, 2.42839e-12
1.5667e-07, 2.46109e-12
1.56587e-07, 2.49418e-12
1.56504e-07, 2.52768e-12
1.56421e-07, 2.56163e-12
1.56338e-07, 2.59598e-12
1.56255e-07, 2.63071e-12
1.56173e-07, 2.66586e-12
1.5609e-07, 2.70149e-12
1.56008e-07, 2.73763e-12
1.55925e-07, 2.77432e-12
1.55843e-07, 2.81151e-12
1.55761e-07, 2.8492e-12
1.55678e-07, 2.88746e-12
1.55596e-07, 2.92625e-12
1.55514e-07, 2.96561e-12
1.55432e-07, 3.00553e-12
1.55351e-07, 3.04602e-12
1.55269e-07, 3.08707e-12
1.55187e-07, 3.12878e-12
1.55106e-07, 3.17112e-12
1.55024e-07, 3.21425e-12
1.54943e-07, 3.2582e-12
1.54862e-07, 3.30289e-12
1.54781e-07, 3.34819e-12
1.547e-07, 3.39412e-12
1.54619e-07, 3.44076e-12
1.54538e-07, 3.48817e-12
1.54457e-07, 3.53635e-12
1.54377e-07, 3.58534e-12
1.54296e-07, 3.63509e-12
1.54216e-07, 3.68567e-12
1.54136e-07, 3.73705e-12
1.54055e-07, 3.78925e-12
1.53975e-07, 3.8423e-12
1.53896e-07, 3.89621e-12
1.53816e-07, 3.95103e-12
1.53736e-07, 4.00673e-12
1.53656e-07, 4.06338e-12
1.53577e-07, 4.12097e-12
1.53498e-07, 4.17964e-12
1.53418e-07, 4.23936e-12
1.53339e-07, 4.30021e-12
1.5326e-07, 4.36214e-12
1.53181e-07, 4.42514e-12
1.53103e-07, 4.48923e-12
1.53024e-07, 4.55451e-12
1.52946e-07, 4.62097e-12
1.52867e-07, 4.68853e-12
1.52789e-07, 4.75741e-12
1.52711e-07, 4.82761e-12
1.52633e-07, 4.89923e-12
1.52555e-07, 4.97229e-12
1.52478e-07, 5.04675e-12
1.524e-07, 5.12264e-12
1.52323e-07, 5.2001e-12
1.52245e-07, 5.27916e-12
1.52168e-07, 5.35996e-12
1.52091e-07, 5.44255e-12
1.52015e-07, 5.52695e-12
1.51938e-07, 5.61315e-12
1.51861e-07, 5.70126e-12
1.51785e-07, 5.7914e-12
1.51709e-07, 5.88367e-12
1.51633e-07, 5.97798e-12
1.51557e-07, 6.07459e-12
1.51481e-07, 6.17362e-12
1.51405e-07, 6.27495e-12
1.5133e-07, 6.37861e-12
1.51255e-07, 6.48478e-12
1.5118e-07, 6.59352e-12
1.51105e-07, 6.70494e-12
1.5103e-07, 6.81922e-12
1.50955e-07, 6.93657e-12
1.50881e-07, 7.05718e-12
1.50807e-07, 7.18094e-12
1.50732e-07, 7.3082e-12
1.50659e-07, 7.43906e-12
1.50585e-07, 7.57348e-12
1.50511e-07, 7.71172e-12
1.50438e-07, 7.85387e-12
1.50365e-07, 8.00002e-12
1.50292e-07, 8.15057e-12
1.50219e-07, 8.30598e-12
1.50146e-07, 8.46648e-12
