dz, F
1.68e-07, 0
1.67956e-07, 1.13663e-16
1.67911e-07, 4.52732e-16
1.67867e-07, 1.00946e-15
1.67823e-07, 1.77911e-15
1.67779e-07, 2.75614e-15
1.67734e-07, 3.9372e-15
1.6769e-07, 5.31626e-15
1.67646e-07, 6.88968e-15
1.67602e-07, 8.65363e-15
1.67558e-07, 1.06069e-14
1.67513e-07, 1.27438e-14
1.67469e-07, 1.50636e-14
1.67425e-07, 1.75636e-14
1.67381e-07, 2.02405e-14
1.67337e-07, 2.30959e-14
1.67292e-07, 2.61192e-14
1.67248e-07, 2.93075e-14
1.67204e-07, 3.26602e-14
1.6716e-07, 3.617e-14
1.67116e-07, 3.98328e-14
1.67071e-07, 4.36432e-14
1.67027e-07, 4.75989e-14
1.66983e-07, 5.1695e-14
1.66939e-07, 5.59286e-14
1.66895e-07, 6.03016e-14
1.66851e-07, 6.48118e-14
1.66807e-07, 6.94625e-14
1.66762e-07, 7.42467e-14
1.66718e-07, 7.91608e-14
1.66674e-07, 8.42005e-14
1.6663e-07, 8.93603e-14
1.66586e-07, 9.46404e-14
1.66542e-07, 1.00038e-13
1.66498e-07, 1.05548e-13
1.66454e-07, 1.11171e-13
1.66409e-07, 1.16911e-13
1.66365e-07, 1.22762e-13
1.66321e-07, 1.28723e-13
1.66277e-07, 1.34795e-13
1.66233e-07, 1.40968e-13
1.66189e-07, 1.47235e-13
1.66145e-07, 1.53588e-13
1.66101e-07, 1.60022e-13
1.66057e-07, 1.66536e-13
1.66013e-07, 1.7313e-13
1.65969e-07, 1.79802e-13
1.65925e-07, 1.86548e-13
1.65881e-07, 1.9337e-13
1.65837e-07, 2.00256e-13
1.65793e-07, 2.07206e-13
1.65749e-07, 2.14222e-13
1.65705e-07, 2.21302e-13
1.65661e-07, 2.28441e-13
1.65617e-07, 2.35642e-13
1.65573e-07, 2.42911e-13
1.65529e-07, 2.50243e-13
1.65485e-07, 2.57636e-13
1.65441e-07, 2.65084e-13
1.65397e-07, 2.72582e-13
1.65353e-07, 2.80134e-13
1.65309e-07, 2.87738e-13
1.65265e-07, 2.95395e-13
1.65221e-07, 3.031e-13
1.65177e-07, 3.10857e-13
1.65133e-07, 3.18659e-13
1.65089e-07, 3.26506e-13
1.65045e-07, 3.34401e-13
1.65002e-07, 3.42345e-13
1.64958e-07, 3.50331e-13
1.64914e-07, 3.58367e-13
1.6487e-07, 3.6645e-13
1.64826e-07, 3.74576e-13
1.64782e-07, 3.82739e-13
1.64738e-07, 3.90943e-13
1.64694e-07, 3.99189e-13
1.64651e-07, 4.07472e-13
1.64607e-07, 4.15791e-13
1.64563e-07, 4.24151e-13
1.64519e-07, 4.32546e-13
1.64475e-07, 4.40976e-13
1.64431e-07, 4.49436e-13
1.64388e-07, 4.57922e-13
1.64344e-07, 4.66437e-13
1.643e-07, 4.74977e-13
1.64256e-07, 4.83547e-13
1.64212e-07, 4.92149e-13
1.64169e-07, 5.00784e-13
1.64125e-07, 5.0945e-13
1.64081e-07, 5.18145e-13
1.64037e-07, 5.26865e-13
1.63994e-07, 5.35612e-13
1.6395e-07, 5.44381e-13
1.63906e-07, 5.53172e-13
1.63862e-07, 5.6199e-13
1.63819e-07, 5.70839e-13
1.63775e-07, 5.79721e-13
1.63731e-07, 5.88631e-13
1.63688e-07, 5.97571e-13
1.63644e-07, 6.06536e-13
1.636e-07, 6.15528e-13
1.63557e-07, 6.24554e-13
1.63513e-07, 6.33604e-13
1.63469e-07, 6.42676e-13
1.63426e-07, 6.51773e-13
1.63382e-07, 6.60895e-13
1.63338e-07, 6.70047e-13
1.63295e-07, 6.79217e-13
1.63251e-07, 6.88409e-13
1.63208e-07, 6.97642e-13
1.63164e-07, 7.06931e-13
1.6312e-07, 7.16267e-13
1.63077e-07, 7.25649e-13
1.63033e-07, 7.35063e-13
1.6299e-07, 7.44506e-13
1.62946e-07, 7.53981e-13
1.62903e-07, 7.63479e-13
1.62859e-07, 7.72997e-13
1.62816e-07, 7.82535e-13
1.62772e-07, 7.92098e-13
1.62729e-07, 8.01691e-13
1.62685e-07, 8.11304e-13
1.62642e-07, 8.20941e-13
1.62598e-07, 8.30593e-13
1.62555e-07, 8.40264e-13
1.62511e-07, 8.49949e-13
1.62468e-07, 8.59654e-13
1.62424e-07, 8.69378e-13
1.62381e-07, 8.79127e-13
1.62337e-07, 8.88887e-13
1.62294e-07, 8.98666e-13
1.62251e-07, 9.08465e-13
1.62207e-07, 9.18279e-13
1.62164e-07, 9.28116e-13
1.6212e-07, 9.37985e-13
1.62077e-07, 9.47888e-13
1.62034e-07, 9.57817e-13
1.6199e-07, 9.67766e-13
1.61947e-07, 9.77732e-13
1.61904e-07, 9.87721e-13
1.6186e-07, 9.97734e-13
1.61817e-07, 1.00777e-12
1.61774e-07, 1.01783e-12
1.6173e-07, 1.02791e-12
1.61687e-07, 1.03802e-12
1.61644e-07, 1.04816e-12
1.61601e-07, 1.05833e-12
1.61557e-07, 1.06852e-12
1.61514e-07, 1.07875e-12
1.61471e-07, 1.08901e-12
1.61428e-07, 1.09929e-12
1.61384e-07, 1.10959e-12
1.61341e-07, 1.11992e-12
1.61298e-07, 1.13028e-12
1.61255e-07, 1.14066e-12
1.61212e-07, 1.15107e-12
1.61169e-07, 1.1615e-12
1.61125e-07, 1.17196e-12
1.61082e-07, 1.18245e-12
1.61039e-07, 1.19297e-12
1.60996e-07, 1.2035e-12
1.60953e-07, 1.21405e-12
1.6091e-07, 1.22464e-12
1.60867e-07, 1.23525e-12
1.60824e-07, 1.2459e-12
1.60781e-07, 1.25659e-12
1.60738e-07, 1.26731e-12
1.60695e-07, 1.27807e-12
1.60652e-07, 1.28885e-12
1.60609e-07, 1.29968e-12
1.60566e-07, 1.31053e-12
1.60523e-07, 1.32141e-12
1.6048e-07, 1.33233e-12
1.60437e-07, 1.34327e-12
1.60394e-07, 1.35425e-12
1.60351e-07, 1.36526e-12
1.60308e-07, 1.37629e-12
1.60265e-07, 1.38736e-12
1.60222e-07, 1.39845e-12
1.60179e-07, 1.40957e-12
1.60136e-07, 1.42072e-12
1.60093e-07, 1.4319e-12
1.60051e-07, 1.44311e-12
1.60008e-07, 1.45438e-12
1.59965e-07, 1.46572e-12
1.59922e-07, 1.4771e-12
1.59879e-07, 1.48852e-12
1.59836e-07, 1.49999e-12
1.59794e-07, 1.5115e-12
1.59751e-07, 1.52304e-12
1.59708e-07, 1.53462e-12
1.59665e-07, 1.54626e-12
1.59623e-07, 1.55798e-12
1.5958e-07, 1.56975e-12
1.59537e-07, 1.58157e-12
1.59495e-07, 1.59346e-12
1.59452e-07, 1.60541e-12
1.59409e-07, 1.61741e-12
1.59367e-07, 1.62948e-12
1.59324e-07, 1.64159e-12
1.59281e-07, 1.65374e-12
1.59239e-07, 1.66593e-12
1.59196e-07, 1.67818e-12
1.59154e-07, 1.69049e-12
1.59111e-07, 1.70285e-12
1.59069e-07, 1.71528e-12
1.59026e-07, 1.72777e-12
1.58984e-07, 1.74032e-12
1.58941e-07, 1.75294e-12
1.58899e-07, 1.7656e-12
1.58856e-07, 1.77832e-12
1.58814e-07, 1.79109e-12
1.58771e-07, 1.80391e-12
1.58729e-07, 1.8168e-12
1.58686e-07, 1.82974e-12
1.58644e-07, 1.84275e-12
1.58602e-07, 1.85585e-12
1.58559e-07, 1.86901e-12
1.58517e-07, 1.88225e-12
1.58475e-07, 1.89555e-12
1.58432e-07, 1.90891e-12
1.5839e-07, 1.92233e-12
1.58348e-07, 1.93582e-12
1.58305e-07, 1.94938e-12
1.58263e-07, 1.96302e-12
1.58221e-07, 1.97671e-12
1.58179e-07, 1.99047e-12
1.58136e-07, 2.00429e-12
1.58094e-07, 2.01816e-12
1.58052e-07, 2.03209e-12
1.5801e-07, 2.04609e-12
1.57968e-07, 2.06015e-12
1.57926e-07, 2.07427e-12
1.57884e-07, 2.08847e-12
1.57841e-07, 2.10273e-12
1.57799e-07, 2.11706e-12
1.57757e-07, 2.13148e-12
1.57715e-07, 2.14597e-12
1.57673e-07, 2.16055e-12
1.57631e-07, 2.17522e-12
1.57589e-07, 2.18997e-12
1.57547e-07, 2.20479e-12
1.57505e-07, 2.2197e-12
1.57463e-07, 2.23467e-12
1.57421e-07, 2.24973e-12
1.5738e-07, 2.26488e-12
1.57338e-07, 2.2801e-12
1.57296e-07, 2.29543e-12
1.57254e-07, 2.31085e-12
1.57212e-07, 2.32637e-12
1.5717e-07, 2.34199e-12
1.57129e-07, 2.35769e-12
1.57087e-07, 2.37348e-12
1.57045e-07, 2.38935e-12
1.57003e-07, 2.40534e-12
1.56962e-07, 2.42142e-12
1.5692e-07, 2.4376e-12
1.56878e-07, 2.45387e-12
1.56837e-07, 2.47026e-12
1.56795e-07, 2.48674e-12
1.56753e-07, 2.50331e-12
1.56712e-07, 2.51996e-12
1.5667e-07, 2.53671e-12
1.56629e-07, 2.55355e-12
1.56587e-07, 2.57047e-12
1.56546e-07, 2.5875e-12
1.56504e-07, 2.60465e-12
1.56463e-07, 2.62191e-12
1.56421e-07, 2.63928e-12
1.5638e-07, 2.65677e-12
1.56338e-07, 2.67438e-12
1.56297e-07, 2.6921e-12
1.56255e-07, 2.70994e-12
1.56214e-07, 2.72788e-12
1.56173e-07, 2.74593e-12
1.56131e-07, 2.76409e-12
1.5609e-07, 2.78239e-12
1.56049e-07, 2.80083e-12
1.56008e-07, 2.81941e-12
1.55966e-07, 2.8381e-12
1.55925e-07, 2.85694e-12
1.55884e-07, 2.87593e-12
1.55843e-07, 2.89505e-12
1.55802e-07, 2.9143e-12
1.55761e-07, 2.93369e-12
1.5572e-07, 2.95321e-12
1.55678e-07, 2.97287e-12
1.55637e-07, 2.99267e-12
1.55596e-07, 3.0126e-12
1.55555e-07, 3.03266e-12
1.55514e-07, 3.05284e-12
1.55473e-07, 3.07317e-12
1.55432e-07, 3.09364e-12
1.55392e-07, 3.11425e-12
1.55351e-07, 3.13501e-12
1.5531e-07, 3.15591e-12
1.55269e-07, 3.17697e-12
1.55228e-07, 3.1982e-12
1.55187e-07, 3.21959e-12
1.55147e-07, 3.24115e-12
1.55106e-07, 3.2629e-12
1.55065e-07, 3.2848e-12
1.55024e-07, 3.30686e-12
1.54984e-07, 3.32912e-12
1.54943e-07, 3.35153e-12
1.54903e-07, 3.3741e-12
1.54862e-07, 3.39684e-12
1.54821e-07, 3.41975e-12
1.54781e-07, 3.44284e-12
1.5474e-07, 3.46612e-12
1.547e-07, 3.48957e-12
1.54659e-07, 3.51319e-12
1.54619e-07, 3.53701e-12
1.54578e-07, 3.56102e-12
1.54538e-07, 3.58522e-12
1.54498e-07, 3.6096e-12
1.54457e-07, 3.63417e-12
1.54417e-07, 3.65894e-12
1.54377e-07, 3.68391e-12
1.54337e-07, 3.70906e-12
1.54296e-07, 3.73441e-12
1.54256e-07, 3.75996e-12
