dz, F
2.1e-07, 0
2.0997e-07, 1.88191e-17
2.0994e-07, 7.39755e-17
2.0991e-07, 1.62462e-16
2.0988e-07, 2.82038e-16
2.0985e-07, 4.33175e-16
2.0982e-07, 6.16727e-16
2.0979e-07, 8.31774e-16
2.0976e-07, 1.07749e-15
2.0973e-07, 1.35338e-15
2.097e-07, 1.65864e-15
2.0967e-07, 1.99237e-15
2.0964e-07, 2.35422e-15
2.0961e-07, 2.74309e-15
2.0958e-07, 3.15807e-15
2.0955e-07, 3.59808e-15
2.0952e-07, 4.06247e-15
2.0949e-07, 4.55108e-15
2.0946e-07, 5.06317e-15
2.0943e-07, 5.59815e-15
2.094e-07, 6.15516e-15
2.0937e-07, 6.73388e-15
2.0934e-07, 7.33365e-15
2.0931e-07, 7.95339e-15
2.0928e-07, 8.59258e-15
2.0925e-07, 9.25092e-15
2.0922e-07, 9.92753e-15
2.0919e-07, 1.06215e-14
2.0916e-07, 1.13325e-14
2.0913e-07, 1.20601e-14
2.091e-07, 1.2804e-14
2.0907e-07, 1.35638e-14
2.0904e-07, 1.43396e-14
2.0901e-07, 1.51308e-14
2.0898e-07, 1.59368e-14
2.0895e-07, 1.6757e-14
2.0892e-07, 1.75909e-14
2.0889e-07, 1.84379e-14
2.0886e-07, 1.92977e-14
2.0883e-07, 2.01699e-14
2.088e-07, 2.10543e-14
2.0877e-07, 2.19504e-14
2.0874e-07, 2.28582e-14
2.0871e-07, 2.37765e-14
2.0868e-07, 2.47048e-14
2.0865e-07, 2.56428e-14
2.0862e-07, 2.65896e-14
2.0859e-07, 2.75449e-14
2.0856e-07, 2.85093e-14
2.0853e-07, 2.94826e-14
2.085e-07, 3.04643e-14
2.0847e-07, 3.14547e-14
2.0844e-07, 3.24527e-14
2.0841e-07, 3.34581e-14
2.0838e-07, 3.44702e-14
2.0835e-07, 3.5489e-14
2.0832e-07, 3.65141e-14
2.0829e-07, 3.75453e-14
2.0826e-07, 3.85826e-14
2.0823e-07, 3.96254e-14
2.082e-07, 4.06735e-14
2.0817e-07, 4.17273e-14
2.0814e-07, 4.27862e-14
2.0811e-07, 4.38498e-14
2.0808e-07, 4.49177e-14
2.0805e-07, 4.59898e-14
2.0802e-07, 4.7066e-14
2.0799e-07, 4.81459e-14
2.0796e-07, 4.92294e-14
2.0793e-07, 5.03161e-14
2.079e-07, 5.14059e-14
2.0787e-07, 5.24985e-14
2.0784e-07, 5.35941e-14
2.0781e-07, 5.4692e-14
2.0778e-07, 5.57922e-14
2.0775e-07, 5.68947e-14
2.0772e-07, 5.79994e-14
2.0769e-07, 5.91059e-14
2.0766e-07, 6.02144e-14
2.0763e-07, 6.13244e-14
2.076e-07, 6.24355e-14
2.0757e-07, 6.3548e-14
2.0754e-07, 6.46616e-14
2.0751e-07, 6.57757e-14
2.0748e-07, 6.68897e-14
2.0745e-07, 6.8004e-14
2.0742e-07, 6.91186e-14
2.0739e-07, 7.02332e-14
2.0736e-07, 7.13481e-14
2.0733e-07, 7.24631e-14
2.073e-07, 7.35775e-14
2.0727e-07, 7.46913e-14
2.0724e-07, 7.58046e-14
2.0721e-07, 7.69182e-14
2.0718e-07, 7.80311e-14
2.0715e-07, 7.91433e-14
2.0712e-07, 8.02549e-14
2.0709e-07, 8.13658e-14
2.0706e-07, 8.24756e-14
2.0703e-07, 8.35841e-14
2.07e-07, 8.46918e-14
2.0697e-07, 8.57979e-14
2.0694e-07, 8.69025e-14
2.0691e-07, 8.80056e-14
2.0688e-07, 8.91074e-14
2.0685e-07, 9.02074e-14
2.0682e-07, 9.13053e-14
2.0679e-07, 9.24014e-14
2.0676e-07, 9.3496e-14
2.0673e-07, 9.45891e-14
2.067e-07, 9.56802e-14
2.0667e-07, 9.67695e-14
2.0664e-07, 9.78562e-14
2.0661e-07, 9.89399e-14
2.0658e-07, 1.00021e-13
2.0655e-07, 1.011e-13
2.0652e-07, 1.02178e-13
2.0649e-07, 1.03253e-13
2.0646e-07, 1.04327e-13
2.0643e-07, 1.05397e-13
2.064e-07, 1.06465e-13
2.0637e-07, 1.07531e-13
2.0634e-07, 1.08594e-13
2.0631e-07, 1.09655e-13
2.0628e-07, 1.10712e-13
2.0625e-07, 1.11767e-13
2.0622e-07, 1.12819e-13
2.0619e-07, 1.13868e-13
2.0616e-07, 1.14915e-13
2.0613e-07, 1.15959e-13
2.061e-07, 1.17e-13
2.0607e-07, 1.18039e-13
2.0604e-07, 1.19075e-13
2.0601e-07, 1.20108e-13
2.0598e-07, 1.21138e-13
2.0595e-07, 1.22165e-13
2.0592e-07, 1.23189e-13
2.0589e-07, 1.24209e-13
2.0586e-07, 1.25227e-13
2.0583e-07, 1.26241e-13
2.058e-07, 1.27252e-13
2.0577e-07, 1.2826e-13
2.0574e-07, 1.29264e-13
2.0571e-07, 1.30266e-13
2.0568e-07, 1.31264e-13
2.0565e-07, 1.3226e-13
2.0562e-07, 1.33253e-13
2.0559e-07, 1.34243e-13
2.0556e-07, 1.35229e-13
2.0553e-07, 1.36213e-13
2.055e-07, 1.37193e-13
2.0547e-07, 1.38169e-13
2.0544e-07, 1.39143e-13
2.0541e-07, 1.40113e-13
2.0538e-07, 1.4108e-13
2.0535e-07, 1.42044e-13
2.0532e-07, 1.43004e-13
2.0529e-07, 1.43961e-13
2.0526e-07, 1.44915e-13
2.0523e-07, 1.45866e-13
2.052e-07, 1.46813e-13
2.0517e-07, 1.47756e-13
2.0514e-07, 1.48697e-13
2.0511e-07, 1.49635e-13
2.0508e-07, 1.5057e-13
2.0505e-07, 1.51502e-13
2.0502e-07, 1.5243e-13
2.0499e-07, 1.53355e-13
2.0496e-07, 1.54277e-13
2.0493e-07, 1.55195e-13
2.049e-07, 1.5611e-13
2.0487e-07, 1.57022e-13
2.0484e-07, 1.5793e-13
2.0481e-07, 1.58836e-13
2.0478e-07, 1.59738e-13
2.0475e-07, 1.60638e-13
2.0472e-07, 1.61535e-13
2.0469e-07, 1.62428e-13
2.0466e-07, 1.63318e-13
2.0463e-07, 1.64205e-13
2.046e-07, 1.65089e-13
2.0457e-07, 1.65971e-13
2.0454e-07, 1.66849e-13
2.0451e-07, 1.67725e-13
2.0448e-07, 1.68597e-13
2.0445e-07, 1.69466e-13
2.0442e-07, 1.70332e-13
2.0439e-07, 1.71196e-13
2.0436e-07, 1.72055e-13
2.0433e-07, 1.72911e-13
2.043e-07, 1.73763e-13
2.0427e-07, 1.74612e-13
2.0424e-07, 1.75458e-13
2.0421e-07, 1.76301e-13
2.0418e-07, 1.7714e-13
2.0415e-07, 1.77977e-13
2.0412e-07, 1.7881e-13
2.0409e-07, 1.79639e-13
2.0406e-07, 1.80465e-13
2.0403e-07, 1.81289e-13
2.04e-07, 1.82111e-13
2.0397e-07, 1.8293e-13
2.0394e-07, 1.83746e-13
