x, y, z
5.1597, 18.1395, 10.7105
5.60206, 16.6401, 11.958
6.40051, 19.2385, 9.59137
4.11582, 20.1644, 9.83038
2.91046, 19.9644, 8.24702
3.91254, 19.3819, 11.6597
1.89835, 21.6395, 8.65879
3.70543, 16.2339, 12.4455
8.12024, 19.4597, 8.59458
8.18007, 19.9262, 10.5385
9.44965, 18.4224, 7.51912
9.21851, 21.1136, 8.353
10.8536, 20.1708, 9.01453
0.277967, 11.1967, 2.78673
-2.11532, 10.0259, 6.62166
-0.488451, 9.88915, 7.77689
-2.33355, 9.4938, 4.70615
-0.564256, 9.69058, 3.79783
-2.25108, 9.92878, 2.75281
1.41952, 12.5399, 3.73149
-0.00734217, 11.7799, 8.21689
-2.27464, 16.4434, 8.3116
-1.21937, 14.9551, 9.13102
0.173671, 16.2641, 9.71918
0.633822, 16.3437, 11.6639
2.1213, 17.0697, 10.5413
1.87211, 18.6332, 9.31926
0.950881, 20.2222, 10.1107
2.5005, 15.1245, 10.8103
2.92987, 14.289, 12.576
1.72886, 13.2441, 13.7866
-1.48206, 13.0013, 8.7943
-2.11726, 14.2647, 7.38002
-2.53088, 11.631, 9.80542
-3.44883, 13.2709, 6.26686
-4.99661, 11.1584, 8.91633
-6.59598, 11.9267, 7.99345
-7.94252, 10.9931, 6.84665
-3.8769, 10.6405, 7.34217
3.14297, 1.99735, 8.71358
3.13664, 0.371181, 7.54932
2.40056, 2.6747, 6.98442
0.862516, 3.73756, 7.69486
-0.826759, 3.21625, 6.75968
3.49336, 2.11151, 2.81127
2.34566, 4.41739, 6.00462
3.85749, 5.85894, 4.09564
2.24603, 4.67654, 4.024
2.53739, 3.7796, 2.26032
2.45339, 2.22895, 0.999996
3.53348, -0.204216, 16.7829
4.01766, -0.649673, 14.8942
3.65892, 1.16176, 14.1261
2.6708, 1.79353, 12.5061
0.4536, 0.994542, 14.2253
1.14962, 2.69666, 13.439
-1.05435, -0.151442, 13.5829
2.95562, 2.47364, 10.647
-4.04413, 2.04527, 8.75223
-3.13759, 1.97997, 10.5338
-0.647864, -0.74782, 10.1368
-2.561, -1.24342, 9.82973
-0.198726, 1.03958, 12.223
-1.361, 1.06351, 10.5955
3.28847, -7.74752, 12.5705
2.00583, -8.45062, 13.9345
5.35884, -8.36016, 13.3524
4.98764, -6.75115, 12.224
10.1674, -5.68775, 13.0567
7.35549, -8.47337, 13.3297
8.92005, -6.74971, 14.9387
8.66342, -7.00333, 12.9715
9.44515, -9.88237, 15.6027
8.46106, -10.0501, 13.8696
7.02801, -11.1046, 14.7832
9.08314, -4.00824, 13.1167
7.83041, -2.6152, 14.5373
6.30485, -1.63432, 12.3651
8.17526, -2.30525, 12.5918
4.73907, -1.95955, 13.5661
0.893493, -7.40735, 10.633
2.30959, -6.33319, 11.55
11.0399, -1.75074, 14.2264
9.28544, -1.0019, 13.6256
1.22966, -9.20174, 11.9036
1.76038, -9.08673, 9.97871
-9.36052, 6.30568, 9.68681
-9.13643, 7.97651, 8.61066
-10.0206, 4.51525, 9.08791
-5.79388, 5.40301, 10.0959
-7.52876, 5.70941, 9.14914
-7.46566, 8.79246, 9.34736
-5.52916, 9.24244, 9.12954
-10.37, 9.39141, 6.07606
-9.25928, 9.75269, 7.69957
-1.76223, 5.62911, 11.2207
-0.662446, 6.06122, 12.8343
-1.4676, 6.18944, 9.32351
-0.598217, 4.4486, 8.86133
-4.49843, 5.87637, 12.593
-3.15018, 4.4854, 12.0956
-5.80494, 4.7324, 7.47363
-5.37344, 3.51834, 9.00328
-4.56165, 3.98011, 10.7718
-2.81872, -14.7377, 3.40002
-3.32855, -16.3048, 4.53323
-4.65359, -12.3466, 4.33316
-3.22931, -11.6563, 3.11054
-4.78048, -12.1768, 6.32188
-1.81897, -13.0105, 3.53119
-0.6933, -9.91567, 5.46194
-1.76779, -8.42939, 6.25971
-2.09705, -8.06659, 2.77106
-1.18089, -7.67147, 4.50441
-0.776744, -10.3045, 3.50189
-0.0341173, -12.1469, 3.26953
-1.63679, -7.25946, 0.999998
-4.47275, -5.68503, 9.02402
-3.44709, -7.37467, 9.32914
-1.83556, -8.51806, 10.1868
-0.855117, -7.49701, 11.5996
-1.95916, -8.13231, 8.22824
-5.44832, -6.85619, 7.72917
-4.41223, -15.2556, 2.308
-1.41937, -18.2072, 7.36651
-0.390022, -18.1053, 9.07824
0.0231624, -14.6379, 7.01614
-0.249899, -12.8869, 6.0891
0.604958, -15.4487, 8.74935
2.09702, -14.2668, 8.13561
-0.675114, -16.3502, 9.99386
-2.20912, -13.1388, 6.40204
3.13907, -15.5338, 6.99163
4.50481, -14.8296, 5.71149
-3.82711, -14.491, 9.12711
-2.16473, -13.7368, 8.31004
-4.5161, -16.272, 9.72162
-3.27528, -16.8436, 8.26095
-7.37957, -16.7885, 7.75811
-7.46576, -15.7031, 6.08046
-6.8271, -15.1795, 8.80977
-6.44009, -16.749, 9.98741
-5.32191, -16.2603, 4.68977
-7.22497, -16.8227, 4.44081
-7.15116, -21.2289, 4.12554
-6.0057, -20.631, 2.59895
-8.61148, -20.2282, 5.05618
-5.13142, -18.1367, 5.3551
-4.98932, -19.4892, 3.8886
-5.80579, -19.4464, 0.999998
