x, y, z
4.91629, 18.3252, 4.4543
5.16693, 17.5316, 6.2729
6.2245, 18.4234, 2.94469
4.22322, 19.8778, 2.7012
2.84107, 19.1734, 1.4389
4.0906, 20.1327, 4.68045
2.14448, 20.9961, 0.999998
3.27797, 17.8161, 6.86524
7.80477, 17.7021, 1.95353
8.22473, 18.9167, 3.48598
8.6829, 15.9765, 1.4524
9.24546, 18.7097, 0.999998
10.6601, 17.6737, 1.96209
-0.91632, 9.96484, 0.999998
-2.85927, 10.2668, 5.2365
-1.09936, 10.5533, 6.14236
-3.27794, 9.10556, 3.66289
-1.62141, 8.92906, 2.55884
-3.41549, 8.8296, 1.68388
0.363771, 11.4756, 1.28113
-0.529236, 12.3902, 5.59404
-2.64482, 16.5532, 3.35946
-1.59778, 15.6493, 4.80399
-0.143214, 17.007, 4.60183
0.377788, 18.0791, 6.20777
1.87932, 17.9789, 4.89045
1.73175, 18.731, 3.04316
1.07735, 20.6167, 2.91748
2.07777, 16.4059, 6.10966
2.34878, 16.534, 8.08705
1.00796, 16.28, 9.54913
-1.93124, 13.815, 5.528
-2.62666, 14.2134, 3.69562
-2.94499, 13.2129, 7.14346
-4.05281, 12.8658, 3.30834
-5.50712, 12.0621, 7.38487
-7.24006, 12.4705, 6.47376
-8.61288, 11.1948, 5.77517
-4.55221, 11.0726, 5.93268
3.12595, 2.18704, 8.78022
3.42527, 0.590881, 7.61289
2.51307, 2.8128, 6.98221
1.01052, 4.00195, 7.55516
-0.679054, 3.47645, 6.62287
3.0864, 1.75112, 2.91392
2.61318, 4.49996, 5.91287
4.53224, 5.38801, 4.03235
2.67519, 4.65409, 3.91977
2.80566, 3.60621, 2.22125
2.31711, 2.0996, 0.999999
3.68533, -0.23663, 16.7199
4.03819, -0.499109, 14.7688
3.33219, 1.2709, 14.1616
2.36431, 1.87065, 12.5174
0.0324454, 0.873035, 13.9582
0.754752, 2.65516, 13.4084
-1.43209, -0.194332, 13.1121
2.67337, 2.60511, 10.683
-4.23394, 2.80373, 8.58442
-3.33621, 2.51292, 10.3478
-1.09803, -0.376219, 9.68398
-3.04431, -0.662731, 9.32357
-0.515274, 1.14381, 11.9422
-1.65046, 1.43704, 10.3219
4.8031, -7.50693, 11.4961
4.05429, -8.78601, 12.8389
7.07269, -7.62549, 11.8244
6.09481, -6.02394, 11.1325
10.8388, -3.63559, 11.3634
8.99082, -7.14254, 11.5286
10.2262, -5.21668, 13.1938
9.76799, -5.32094, 11.2498
11.7538, -8.11555, 13.2425
10.5593, -8.37651, 11.6598
9.65124, -9.89462, 12.593
9.34599, -2.368, 11.7692
8.0899, -1.42537, 13.5189
5.9171, -0.8974, 11.7841
7.9036, -0.996311, 11.5744
4.81318, -1.60563, 13.294
1.98419, -7.52314, 10.2083
3.31502, -6.2628, 11.0085
10.7808, 0.352737, 12.6174
8.79742, 0.557566, 12.4612
2.96469, -9.2415, 11.2248
3.01928, -8.93994, 9.24846
-9.36157, 7.26478, 9.78309
-9.37439, 8.64972, 8.34027
-10.0167, 5.37672, 9.70576
-5.78989, 6.30159, 9.91978
-7.60116, 6.58516, 9.12048
-7.72192, 9.71855, 8.6965
-5.87101, 10.2556, 8.16196
-11.0142, 9.38251, 5.74767
-9.72649, 10.1535, 7.06954
-1.61192, 6.38819, 10.7746
-0.472475, 6.98193, 12.3073
-1.31351, 6.66667, 8.81671
-0.442095, 4.87787, 8.6147
-4.27989, 6.97463, 12.1781
-3.04373, 5.44704, 11.8062
-5.93419, 5.52632, 7.32412
-5.43764, 4.37318, 8.88094
-4.52781, 4.89884, 10.5827
-2.67291, -14.7945, 3.08599
-3.08345, -16.3883, 4.2224
-4.35338, -12.3517, 4.18446
-3.01614, -11.7005, 2.84742
-4.30025, -12.199, 6.17791
-1.61673, -13.0973, 3.14827
-0.111334, -10.175, 5.14016
-1.05021, -8.7411, 6.17085
-1.8062, -8.17344, 2.77718
-0.689262, -7.8683, 4.40793
-0.465897, -10.4358, 3.1892
0.166238, -12.2823, 2.7523
-1.53645, -7.29661, 0.999999
-3.48274, -6.3506, 9.46517
-2.33182, -7.98567, 9.50864
-0.555179, -9.0747, 10.0539
0.474786, -8.03451, 11.4167
-0.976172, -8.57808, 8.16282
-4.56681, -7.50284, 8.24161
-4.40219, -15.2354, 2.18309
-1.52205, -18.3274, 6.29506
0.0517523, -18.439, 7.52415
0.187637, -15.0416, 5.35495
-0.195872, -13.2526, 4.54721
1.23985, -15.9463, 6.79515
2.55293, -14.9587, 5.65482
0.382753, -16.6925, 8.44092
-1.94319, -13.2979, 5.51921
2.94468, -16.3299, 4.25255
3.83852, -15.7864, 2.54794
-2.69701, -14.7556, 8.54894
-1.33119, -14.0605, 7.26386
-3.31869, -16.5239, 9.2464
-2.53779, -17.0907, 7.49457
-6.53765, -16.8314, 8.02231
-6.8921, -15.6873, 6.42061
-5.71866, -15.2832, 8.9879
-5.13387, -16.9114, 9.99136
-5.02616, -16.2656, 4.68154
-6.96526, -16.753, 4.7298
-7.08213, -21.0902, 4.21211
-5.98044, -20.5823, 2.62206
-8.42537, -19.9882, 5.2027
-4.80903, -18.1481, 5.3211
-4.82821, -19.4963, 3.84398
-5.78716, -19.4284, 0.999998
